1	11
2	13
3	11
4	9
5	14
6	13
7	8
8	4
9	14
10	13
11	11
12	19
13	11
14	2
15	18
16	8
17	13
18	3
19	1
20	19
21	21
22	21
23	8
24	4
25	18
26	14
27	20
28	20
29	14
30	11
31	6
32	5
33	6
34	2
35	19
36	19
37	4
38	11
39	19
40	18
41	12
42	18
43	13
44	20
45	1
46	18
47	17
48	18
49	16
50	15
51	1
52	20
53	12
54	2
55	21
56	8
57	12
58	1
59	13
60	19
61	11
62	18
63	3
64	17
65	19
66	19
67	1
68	17
69	13
70	11
71	3
72	8
73	13
74	12
75	8
76	10
77	10
78	10
79	19
80	11
81	21
82	19
83	18
84	6
85	8
86	11
87	9
88	18
89	2
90	8
91	8
92	12
93	17
94	19
95	21
96	9
97	5
98	13
99	20
100	21
101	8
102	7
103	18
104	19
105	20
106	19
107	9
108	19
109	10
110	8
111	4
112	15
113	3
114	21
115	15
116	7
117	14
118	4
119	12
120	13
121	5
122	14
123	18
124	16
125	7
126	4
127	12
128	8
129	11
130	4
131	21
132	6
133	18
134	13
135	21
136	13
137	2
138	9
139	5
140	19
141	18
142	18
143	21
144	18
145	18
146	18
147	14
148	10
149	3
150	8
151	20
152	9
153	14
154	19
155	6
156	3
157	8
158	7
159	13
160	8
161	6
162	7
163	6
164	8
165	16
166	11
167	13
168	11
169	3
170	21
171	5
172	7
173	13
174	20
175	18
176	19
177	13
178	18
179	14
180	19
181	4
182	19
183	9
184	3
185	6
186	19
187	2
188	20
189	19
190	12
191	18
192	7
193	12
194	8
195	16
196	19
197	6
198	21
199	18
200	17
201	2
202	14
203	13
204	19
205	11
206	7
207	16
208	12
209	9
210	15
211	16
212	21
213	4
214	13
215	4
216	11
217	8
218	14
219	18
220	14
221	19
222	14
223	8
224	15
225	19
226	11
227	21
228	8
229	2
230	20
231	14
232	14
233	14
234	20
235	14
236	8
237	14
238	18
239	3
240	12
241	19
242	19
243	4
244	19
245	14
246	7
247	7
248	18
249	8
250	12
251	18
252	19
253	18
254	9
255	7
256	6
257	13
258	11
259	18
260	19
261	21
262	13
263	12
264	1
265	18
266	4
267	14
268	11
269	14
270	7
271	8
272	8
273	4
274	9
275	9
276	15
277	19
278	16
279	3
280	8
281	14
282	14
283	3
284	11
285	21
286	19
287	13
288	6
289	17
290	8
291	18
292	14
293	13
294	9
295	12
296	7
297	14
298	21
299	21
300	13
301	3
302	17
303	6
304	10
305	21
306	4
307	19
308	15
309	21
310	20
311	6
312	14
313	9
314	11
315	4
316	18
317	7
318	11
319	4
320	14
321	11
322	9
323	13
324	8
325	7
326	14
327	1
328	14
329	13
330	12
331	21
332	20
333	14
334	11
335	19
336	3
337	21
338	20
339	12
340	21
341	7
342	8
343	14
344	21
345	4
346	12
347	11
348	9
349	14
350	6
351	15
352	20
353	6
354	2
355	17
356	6
357	19
358	20
359	14
360	19
361	21
362	16
363	8
364	8
365	7
366	13
367	19
368	12
369	14
370	7
371	11
372	18
373	9
374	8
375	3
376	5
377	17
378	19
379	4
380	18
381	4
382	6
383	13
384	8
385	11
386	20
387	11
388	14
389	11
390	2
391	13
392	19
393	10
394	18
395	8
396	18
397	6
398	6
399	1
400	18
401	21
402	14
403	4
404	6
405	19
406	19
407	18
408	12
409	5
410	19
411	18
412	12
413	11
414	18
415	9
416	10
417	18
418	3
419	10
420	6
421	21
422	1
423	13
424	4
425	12
426	12
427	2
428	8
429	5
430	13
431	15
432	8
433	13
434	18
435	4
436	21
437	11
438	4
439	12
440	11
441	14
442	11
443	18
444	21
445	8
446	11
447	13
448	4
449	13
450	21
451	16
452	19
453	18
454	18
455	1
456	11
457	11
458	13
459	19
460	10
461	18
462	5
463	11
464	11
465	18
466	14
467	20
468	7
469	19
470	12
471	14
472	19
473	19
474	14
475	19
476	4
477	15
478	21
479	19
480	3
481	19
482	11
483	9
484	10
485	4
486	3
487	2
488	14
489	17
490	16
491	16
492	15
493	14
494	13
495	19
496	19
